gpsName,treeName,quadrat,height,dbh,species,markDate,measureDate,initialGroup,behaviorData,IDby,GPSAveraged,notes,minAxis,maxAxis,X,Y,ele
2 011201,MII011201,N12,8,0.42,,2019-01-12,2019-02-23,2,Y,,Y,,1,1,44.172389,-20.785412,59.292778
,MII011202,L11,,,,2019-01-12,,2,Y,,,Looked once,,,,,
,MII011203,S7,,,,2019-01-12,,2,Y,,,Looked once,,,,,
,MII011204,,,,,2019-01-12,,2,Y,,,"Looked once, maybe in U10-U12",,,,,
2 011301,MII011301,I21,6,0.72,,2019-01-13,2019-03-04,2,Y,,Y,,6,4,44.171246,-20.783505,46.157272
,MII011302,I21,,,,2019-01-13,,2,N,,,"I don't think this tree exists - not in quadrat, not in social data",,,,,
2 011303,MII011303,J21,11,2.09,Anakaraka,2019-01-13,2019-03-04,2,Y,Meredith,Y,,30,8,44.171555,-20.78328,56.815746
2 011304,MII011304,J21,6,0.32,,2019-01-13,2019-03-04,2,Y,,,,5,1,44.171569,-20.783302,59.909195
2 011305,MII011305,J21,7,0.27,,2019-01-13,2019-03-04,2,Y,,,,5,5,44.171616,-20.783273,48.387001
2 011501,MII011501,F15,11,2.77,Farafatsy,2019-01-15,2019-02-23,2,Y,Meredith,Y,,7,6,44.170561,-20.784447,63.989052
2 011901,MII011901,U15,4,0.22,,2019-01-19,2019-02-23,2,Y,,Y,,2,2,44.174309,-20.784832,64.779373
2 011902,MII011902,W13,4,0.16,,2019-01-19,2019-02-23,2,Y,,Y,,2,1,44.174583,-20.785277,58.198078
2 012101,MII012101,G20,5,0.21,Hazoboenga,2019-01-21,2019-03-04,2,Y,Meredith,Y,,2,1,44.170757,-20.783612,61.450836
2 012201,MII012201,R6,10,0.68,,2019-01-22,2019-02-25,2,Y,,Y,,5,3,44.173351,-20.786555,66.978218
2 012202,MII012202,R7,12,1.81,Hazomahasefoe,2019-01-22,2019-02-25,2,Y,Francis,Y,,4,3,44.173259,-20.78652,68.454521
2 020701,MII020701,J22,4,0.19,Hazomby,2019-02-07,2019-03-04,2,Y,Meredith,,,2,1,44.171699,-20.783115,59.385967
2 020702,MII020702,D19,6,0.2,Hazomby,2019-02-07,3019-03-07,2,Y,Meredith,,,2,1,44.17021,-20.783666,64.078537
2 020703,MII020703,F21,5,0.32,Hazomby,2019-02-07,3019-03-07,2,Y,Meredith,,,5,3,44.170582,-20.783403,57.167313
2 020704,MII020704,G21,6,0.26,Hazoboenga,2019-02-07,2019-03-04,2,Y,Meredith,Y,,3,2,44.170834,-20.783465,58.905781
2 021201,MII021201,W11,7,0.36,,2019-02-12,2019-02-23,2,Y,,Y,,3,1.5,44.174569,-20.785874,67.18634
2 021202,MII021202,W9,5,0.17,,2019-02-12,2019-02-23,2,Y,,Y,,3,2,44.174492,-20.786113,66.224686
2 021303,MII021203,W10,4,0.36,,2019-02-12,2019-02-23,2,Y,,Y,,3,3,44.172636,-20.786449,65.20121
2 021301,MII021301,W11,9,0.64,,2019-02-13,2019-02-23,2,Y,,Y,,5,4,44.174626,-20.785872,70.239975
2 021302,MII021302,W11,5,0.34,Hamaniomby,2019-02-13,2019-02-23,2,Y,Francis,Y,,3,2,44.174512,-20.785736,63.050426
2 021303,MII021303,O7,6,0.35,Hazoboegna,2019-02-13,2019-03-05,2,Y,Francis,,,4,2,44.172636,-20.786449,65.20121
2 021304,MII021304,N8,6,0.14,Hazoboegna,2019-02-13,2019-03-05,2,Y,Francis,,,2,1,44.172273,-20.786287,59.17646
2 021801,MII021801,H16,7,0.4,,2019-02-18,2019-02-23,2,Y,,Y,,2,1.5,44.171012,-20.784191,59.160126
6 021802,MII021802,J21,14,0.52,,2019-02-18,2019-02-18,2,Y,,,,3,2,44.171584,-20.783635,82.044693
2 021803,MII021803,L20,6,0.23,Hazoboenga,2019-02-18,2019-03-04,2,Y,Meredith,Y,,2,2,44.171951,-20.78367,47.373756
2 022301,MII022301,C13,18,3.77,Fony,2019-02-23,2019-02-23,2,,Meredith,Y,,9,7,44.169831,-20.785007,52.870365
2 022501,MII022501,L8,5,0.34,Hazoboegna,2019-02-25,2019-03-05,2,Y,Meredith,,,2,2,44.171844,-20.786399,60.469982
2 022502,MII022502,I7,7,0.24,Hazomby,2019-02-25,2019-03-05,2,Y,Meredith,,,3,1,44.17103,-20.786754,59.042873
2 022503,MII022503,H7,5,0.18,Hazomby,2019-02-25,2019-03-05,2,Y,Meredith,,,4,1,44.170922,-20.786795,59.303219
2 030201,MII030201,H17,7,0.37,Metampototsy,2019-03-02,2019-03-04,2,Y,Meredith,Y,,3,2,44.171072,-20.784159,59.184689
2 030202,MII030202,E15,10,0.36,,2019-03-02,2019-03-04,2,Y,,Y,,4,3,44.170328,-20.784597,63.309166
2 030203,MII030203,West of A13,11,0.99,Anakaraka,2019-03-02,2019-03-04,2,Y,Meredith,Y,,6,4,44.169041,-20.78451,58.229939
2 030501,MII030501,W11,22,4.3,Fony,2019-03-05,2019-03-05,2,Y,Meredith,Y,,12,10,44.174529,-20.785814,68.292679
,MII031101,S20,,,,2019-03-11,,2,Y,,,,,,,,
3 010901,MIII010901,EE25,12,0.62,Harofy,2019-01-09,3019-03-07,3,Y,Meredith,Y,,4,3,44.176692,-20.782637,60.404068
3 011301,MIII011301,N30,6,0.44,,2019-01-13,2019-03-01,3,Y,,Y,,3,2,44.172828,-20.78111,64.048004
3 011302,MIII011302,L30,10,0.98,Harofy,2019-01-13,3019-03-07,3,Y,Meredith,Y,,5,3,44.172333,-20.781104,61.482418
3 011801,MIII011801,K22,8,0.32,,2019-01-18,2019-03-04,3,Y,,Y,,2,2,44.17185,-20.783062,57.917809
3 011802,MIII011802,P20,5,0.28,Hazomby,2019-01-18,2019-03-04,3,Y,Meredith,Y,,4,3,44.173064,-20.783498,53.114861
3 011803,MIII011803,P20,9,0.53,Harofy,2019-01-18,2019-03-04,3,Y,Meredith,Y,,5,2,44.173174,-20.78352,58.389942
3 011804,MIII011804,Q20,13,0.43,,2019-01-18,2019-03-04,3,Y,,Y,,5,5,44.173316,-20.783626,60.75367
3 011805,MIII011805,S22,4,0.23,,2019-01-18,2019-03-04,3,Y,,,,5,1,44.173855,-20.783258,52.977203
3 012001,MIII012001,Z23,16,0.44,,2019-01-20,2019-03-04,3,Y,,,,4,2,44.175569,-20.782997,62.329441
3 012002,MIII012002,Y23,6,0.59,Hazoboenga,2019-01-20,2019-02-21,3,Y,Meredith,,May not be correct ID,4,3,44.175412,-20.783154,60.250702
3 012003,MIII012003,DD25,12,0.34,,2019-01-20,3019-03-07,3,Y,,,,5,3,44.17647,-20.782687,57.76218
3 012004,MIII012004,EE29,12,0.76,,2019-01-20,2019-02-24,3,Y,,Y,,6,4,44.176325,-20.781605,62.471268
3 013101,MIII013101,CC23,11,0.34,,2019-01-31,3019-03-07,3,Y,,,,2,2,44.176254,-20.783049,54.896999
3 013102,MIII013102,Z23,12,0.74,Harofy,2019-01-31,2019-03-04,3,Y,Meredith,Y,,7,4,44.175471,-20.783006,62.905998
3 013103,MIII013103,Y23,10,0.37,,2019-01-31,2019-03-04,3,Y,,,,4,2,44.17524,-20.782968,64.687881
3 013104,MIII013104,V23,6,0.28,Hazomby,2019-01-31,2019-03-04,3,Y,Meredith,Y,,5,5,44.17457,-20.782983,65.316216
3 013105,MIII013105,T22,9,0.6,,2019-01-31,2019-03-04,3,Y,,,,7,3,44.174213,-20.783331,57.893715
3 020301,MIII020301,S32,10,0.34,,2019-02-03,2019-03-01,3,Y,,Y,,7,4,44.174076,-20.780966,60.918793
,MIII020302,S32,,,,2019-02-03,,3,Y,,,Looked several times,,,,,
3 020601,MIII020601,Z22,5,0.39,,2019-02-06,2019-02-21,3,Y,,,,2,2,44.175374,-20.783525,64.433754
3 020602,MIII020602,Y21,4,0.42,Mafiaboa,2019-02-06,3019-03-07,3,Y,Meredith,,,3,3,44.175192,-20.783536,58.128063
3 020603,MIII020603,W20,4,0.13,,2019-02-06,2019-02-27,3,Y,,Y,,2,1,44.174821,-20.783819,67.243584
3 020604,MIII020604,U20,2,0.84,Dead,2019-02-06,2019-02-27,3,Y,Meredith,Y,Tree is horizontal,0,0,44.174278,-20.783895,63.630829
3 020605,MIII020605,T20,5,0.31,Dead?,2019-02-06,2019-02-27,3,Y,Meredith,Y,,1,1,44.173951,-20.783793,62.103321
3 021401,MIII021401,P29,4,0.28,Hazomby,2019-02-14,2019-03-01,3,Y,Meredith,Y,,3,3,44.173383,-20.781401,61.868656
3 021402,MIII021402,Q30,4,0.25,Hazomby,2019-02-14,2019-03-01,3,Y,Meredith,Y,,2,1,44.173495,-20.781341,57.826462
3 021403,MIII021403,Q31,10,0.32,Hazoboenga,2019-02-14,2019-03-01,3,Y,Meredith,Y,,4,4,44.173594,-20.78107,62.133186
3 021404,MIII021404,R31,4,0.61,Dead,2019-02-14,2019-03-01,3,Y,Meredith,Y,,0,0,44.173768,-20.781004,61.263283
3 022101,MIII022101,AA23,15,1.57,Mafiaboa,2019-02-21,2019-02-21,3,Y,Meredith,,"This tree is marked in pink fabric, but there isn't a metal tag. I remarked in blue ",7,4,44.175812,-20.783088,62.289448
3 022401,MIII022401,CC27,4,0.24,Dead,2019-02-24,3019-03-07,3,Y,Meredith,,,0,0,44.17611,-20.782109,63.040009
3 022402,MIII022402,EE27,3,0.23,Hazomby,2019-02-24,2019-02-24,3,Y,Francis,Y,,2,2,44.176526,-20.782243,67.346039
3 022403,MIII022403,EE27,5,0.37,Hazomby,2019-02-24,2019-02-24,3,Y,Francis,Y,,4,3,44.176462,-20.782277,69.653709
3 022404,MIII022404,DD27,4,0.23,Hazomby,2019-02-24,2019-02-24,3,Y,Meredith,Y,Francis confirmed ID,4,1,44.176452,-20.782302,60.912495
3 022405,MIII022405,DD27,4,0.2,Hazomby,2019-02-24,2019-02-24,3,Y,Meredith,Y,Francis confirmed ID,3,1,44.176403,-20.782313,68.292145
3 022701,MIII022701,Q20,12,0.56,,2019-02-27,2019-03-04,3,Y,,,,5,3,44.173233,-20.783559,62.112839
3 022702,MIII022702,U19,11,0.55,,2019-02-27,2019-02-27,3,Y,,Y,,4,3,44.17435,-20.784013,68.391586
3 022703,MIII022703,U18,4,0.21,Hazomby,2019-02-27,3019-03-07,3,Y,Meredith,,,3,2,44.174175,-20.784183,50.544384
3 030301,MIII030301,R29,10,0.37,,2019-03-03,3019-03-07,3,Y,,Y,,3,2,44.173657,-20.781392,67.214806
3 030203,MIII030302,W31,4,0.41,Manjakabetany,2019-03-03,3019-03-07,3,Y,Meredith,,,3,1,,,
3 030303,MIII030303,Y31,4,0.31,Hazomby,2019-03-03,3019-03-07,3,Y,Meredith,,,1.5,1,44.175304,-20.781126,63.894238
3 030304,MIII030304,Z31,7,0.31,Harofy,2019-03-03,3019-03-07,3,Y,Meredith,Y,,1.5,1,44.175594,-20.781178,65.451118
3 030305,MIII030305,AA31,9,0.32,Magnary baomby,2019-03-03,3019-03-07,3,Y,Francis,,This tree already has a pink flag but no number,3,2,44.17579,-20.781129,65.988129
3 030306,MIII030306,AA31,10,0.71,Soamangy be,2019-03-03,3019-03-07,3,Y,Francis,,,6,4,44.175791,-20.781104,65.780739
3 030307,MIII030307,CC30,5,0.28,Hazomby,2019-03-03,3019-03-07,3,Y,Meredith,,,3,2,44.176075,-20.781383,56.935463
3 030308,MIII030308,CC28,14,0.36,Latabariky,2019-03-03,3019-03-07,3,Y,Francis,,,5,3,44.176022,-20.781901,57.564629
3 030309,MIII030309,CC27,5,0.18,Hazomby,2019-03-03,3019-03-07,3,Y,Meredith,,,3,2,44.176089,-20.78209,62.831474
3 030901,MIII030901,N27,10,0.41,,2019-03-09,2019-03-09,3,Y,,,,4,3,,,
3 030902,MIII030902,M30,6,0.26,Hazomby,2019-03-09,2019-03-09,3,Y,Meredith,Y,,3,3,,,
3 030903,MIII030903,M29,6,0.23,Hazomby,2019-03-09,2019-03-09,3,Y,Meredith,,,6,4,,,
3 030904,MIII030904,N27,8,0.24,Hazomby,2019-03-09,2019-03-09,3,Y,Meredith,,,6,4,,,
6 010901,MVI010901,P38,15,1.34,Mafiaboa,2019-01-09,2019-02-17,6,Y,Meredith,,,7,3,44.173412,-20.779509,55.666237
6 010902,MVI010902,R37,13,2.35,Anakaraka,2019-01-09,2019-02-17,6,Y,Meredith,,,11,5,44.174176,-20.779706,70.53019
6 011001,MVI011001,M37,11,1,Harofy,2019-01-10,2019-02-17,6,Y,Meredith,,,8,4,44.172726,-20.779492,57.893932
6 011002,MVI011002,L36,16,2.06,,2019-01-10,2019-02-17,6,Y,,,,6,4,44.17246,-20.779781,55.327282
6 011003,MVI011003,M41,17,1.74,Farafatsy,2019-01-10,2019-02-17,6,Y,Meredith,Y,,7,6,44.173041,-20.778731,66.915085
6 011401,MVI011401,J38,20,1.66,Harofy,2019-01-14,2019-02-17,6,Y,Meredith,,,6,5,44.172217,-20.779343,62.903244
6 011402,MVI011402,J38,19,0.88,Mafiaboa,2019-01-14,2019-02-17,6,Y,Meredith,,,5,3,44.172234,-20.779316,61.114166
6 011403,MVI011403,K40,8,0.36,,2019-01-14,2019-02-17,6,Y,,,,3,2,44.172507,-20.778783,55.435837
6 011404,MVI011404,M40,7,0.37,,2019-01-14,2019-02-17,6,Y,,Y,,4,2,44.172998,-20.778837,63.269428
6 011405,MVI011405,M40,7,0.46,,2019-01-14,2019-02-17,6,Y,,Y,,3,3,44.172954,-20.778808,63.881477
6 011601,MVI011601,J38,12,0.44,,2019-01-16,2019-02-17,6,Y,,,,2,2,44.172111,-20.779432,56.212799
6 011602,MVI011602,I38,6,0.56,,2019-01-16,2019-02-17,6,Y,,,,2,2,44.171848,-20.779313,58.328709
6 011603,MVI011603,D33,4,0.31,,2019-01-16,2019-02-17,6,Y,,,,2,2,44.170548,-20.780282,58.772346
3 011604,MVI011604,D30,6,0.18,,2019-01-16,2019-03-01,6,Y,,Y,,2,2,,,
6 011605,MVI011605,E28,6,0.34,,2019-01-16,3019-03-07,6,Y,,Y,,3,2,44.1706,-20.78139,62.44339
6 011701,MVI011701,M30,9,0.35,,2019-01-17,2019-03-01,6,Y,,Y,,5,3,44.172655,-20.781048,59.062256
6 011202,MVI011702,I28,5,0.2,Hazomby,2019-01-17,3019-03-07,6,Y,Meredith,,,3,3,,,
6 020201,MVI020201,B39,14,0.93,Hazomahasefoe,2019-02-02,2019-02-17,6,Y,Meredith,,,7,5,44.170281,-20.779016,56.374538
6 020202,MVI020202,B39,10,0.43,,2019-02-02,3019-03-07,6,Y,,,,3,3,44.170253,-20.779066,46.678131
6 020203,MVI020203,E40,5,0.1,,2019-02-02,2019-02-17,6,Y,,,,3,1,44.170987,-20.778896,60.985771
6 020204,MVI020204,E40,5,0.29,,2019-02-02,2019-02-17,6,Y,,,,3,2,44.171103,-20.778756,54.245018
6 020501,MVI020501,F37,10,0.4,,2019-02-05,2019-03-05,6,Y,,,,3,2,44.171221,-20.779517,64.900604
6 021001,MVI021001,J30,5,0.29,Hazomby,2019-02-10,2019-03-01,6,Y,Meredith,Y,,6,2,44.171782,-20.781193,58.325264
6 021002,MVI021002,M30,7,0.74,,2019-02-10,2019-03-01,6,Y,,Y,,6,2,44.172633,-20.781128,62.502361
6 021003,MVI021003,M30,5,0.27,Hazomby,2019-02-10,2019-03-01,6,Y,Meredith,Y,,4,3,44.172645,-20.781128,61.243992
6 021004,MVI021004,N31,4,0.21,Hazomby,2019-02-10,2019-03-01,6,Y,Meredith,Y,,3,1,44.172728,-20.780879,58.103645
6 021501,MVI021501,K37,8,0.46,,2019-02-15,2019-02-17,6,Y,,,,2,1,44.17246,-20.779464,55.153603
6 021502,MVI021502,J36,5,0.36,,2019-02-15,2019-02-17,6,Y,,,,1,1,44.172184,-20.779902,55.592064
,MVI021503,L30,,,,2019-02-15,,6,Y,,,*Need to mark,,,,,
6 021504,MVI021504,J30,7,0.25,Hazomby,2019-02-15,2019-03-01,6,Y,Meredith,Y,,6,3,44.171838,-20.781149,62.538254
,MVI021505,H30,,,,2019-02-15,,6,Y,,,*Need to mark?,,,,,
6 021601,MVI021601,E37,13,3.71,Fony,2019-02-16,2019-02-17,6,Y,Meredith,,,12.5,9,44.170825,-20.779388,69.838943
6 021602,MVI021602,D36,16,1.74,Harofy,2019-02-16,2019-02-17,6,Y,Meredith,,,7,5,44.170537,-20.779686,63.454624
6 021603,MVI021603,C38,3,0.25,Dead,2019-02-16,2019-02-17,6,Y,Meredith,,,0,0,44.170305,-20.779277,54.694435
6 021701,MVI021701,E35,5.5,0.36,,2019-02-17,2019-02-17,6,Y,,,,4,2,44.170905,-20.779859,57.271702
6 022201,MVI022201,M40,11,0.5,,2019-02-22,2019-03-06,6,Y,,,,6,3,44.172901,-20.778982,59.184669
6 022202,MVI022202,M40,15,0.6,,2019-02-22,2019-02-26,6,Y,,Y,,6,5,44.172945,-20.778806,61.395557
3 022203,MVI022203,N40,13,0.7,,2019-02-22,2019-02-22,6,Y,,Y,,6,3,,,
6 022204,MVI022204,M40,14,0.51,,2019-02-22,2019-02-26,6,Y,,Y,,5,4,44.173053,-20.7788,66.14946
6 022205,MVI022205,K38,4,0.2,Hazomby,2019-02-22,2019-02-26,6,Y,Daniel,Y,,3,1,44.1724,-20.779278,68.205414
6 022206,MVI022206,L32,5,0.6,Dead,2019-02-22,3019-03-07,6,Y,Meredith,,,0,0,44.172492,-20.780549,66.248222
6 022207,MVI022207,J32,3,0.33,Hazomby,2019-02-22,3019-03-07,6,Y,Daniel,,,1.5,1,44.172039,-20.78072,64.699051
6 022501,MVI022501,B38,20,1.33,Farafatsy,2019-02-25,2019-03-07,6,Y,Meredith,,,5,4,44.17026,-20.779229,55.202377
6 022601,MVI022601,K38,7,0.29,,2019-02-26,2019-03-01,6,Y,,Y,*Need to check in GPs may be wrongly 022602,4,2,44.173015,-20.778806,63.076008
6 022602,MVI022602,M40,14,0.72,,2019-02-26,2019-02-26,6,Y,,Y,,6,6,44.172334,-20.779439,61.970181
6 022603,MVI022603,M41,5,0.23,Hazomby,2019-02-26,2019-02-26,6,Y,Meredith,Y,,2,1,44.172767,-20.778724,61.285587
6 022604,MVI022604,M41,6,0.35,Hazomby,2019-02-26,2019-02-26,6,Y,Meredith,Y,,3,2,44.172811,-20.778704,59.927105
6 022801,MVI022801,West of A32,8,0.37,,2019-02-28,2019-03-01,6,Y,,Y,,3,2,44.169602,-20.780588,61.253521
6 022802,MVI022802,West of A32,10,0.31,,2019-02-28,2019-03-01,6,Y,,Y,,3,2,44.169611,-20.780613,59.652676
6 022803,MVI022803,West of A31,12,0.88,Anakaraka,2019-02-28,2019-03-01,6,Y,Meredith,Y,,7,6,44.169642,-20.780631,50.577446
6 022804,MVI022804,D32,3,0.36,Dead,2019-02-28,2019-03-01,6,Y,Meredith,Y,,0,0,44.170377,-20.780698,63.972702
6 022805,MVI022805,D32,6,0.25,,2019-02-28,2019-03-01,6,Y,,Y,,1,1,44.170593,-20.780631,60.647449
6 022806,MVI022806,F32,4,0.16,Hazomby,2019-02-28,2019-03-01,6,Y,Meredith,Y,,3,1,44.170885,-20.780634,61.787685
6 022807,MVI022807,F32,6,0.22,Hazomby,2019-02-28,2019-03-01,6,Y,Meredith,Y,,4,4,44.170896,-20.780643,63.93948
6 022808,MVI022808,K32,6,0.21,,2019-02-28,2019-03-01,6,Y,,Y,,3,3,,,
6 030101,MVI030101,I38,6,0.21,,2019-03-01,2019-03-01,6,Y,,Y,,4,2,44.171934,-20.779366,71.318535
6 030201,MVI030201,G37,4,0.21,Metampototsy,2019-03-02,2019-03-05,6,Y,Meredith,,,1,0.5,44.171258,-20.779633,56.518204
,MVI030202,G37,1,0.46,Dead tree,2019-03-02,2019-03-05,6,Y,Meredith,,,0,0,,,
6 030203,MVI030203,G37,3,0.15,Metampototsy,2019-03-02,2019-03-05,6,Y,Meredith,,,2,0.5,44.17125,-20.779649,63.856663
,MVI030204,G37,4,0.11,Metampototsy,2019-03-02,2019-03-05,6,Y,Meredith,,,0.5,0.5,,,
,MVI030205,H34,,,,2019-03-02,,6,Y,,,,,,,,
6 030206,MVI030206,G33,4,0.33,Mafiaboa,2019-03-02,3019-03-07,6,Y,Meredith,Y,,5,4,44.171314,-20.780504,71.031326
6 030207,MVI030207,D29,,0.09,Vahy,2019-03-02,3019-03-07,6,Y,Meredith,,,,,44.170401,-20.781192,58.828812
6 030501,MVI030501,G37,18,1.49,,2019-03-05,2019-03-05,6,Y,,,,11,7,44.171253,-20.779667,68.410126
6 030601,MVI030601,M40,12,0.43,,2019-03-06,2019-03-06,6,Y,,,,4,3,44.17284,-20.778802,70.2295
6 031001,MVI031001,M41,6,0.26,Hazoboenga,2019-03-10,2019-03-10,6,Y,Meredith,,,3,3,,,
6 031201,MVI031201,J30,14,0.84,Harofy,2019-03-12,2019-03-12,6,Y,Meredith,Y,,8,6,,,
12 011001,MXII011101,II35,6,0.19,,2019-01-11,2019-02-24,12,Y,,Y,,2,2,44.177889,-20.779998,61.235264
12 011002,MXII011102,KK34,4,0.44,,2019-01-11,2019-02-24,12,Y,,Y,,4,3,44.17845,-20.780035,54.861958
